Channel,Elevation,Azimuth
1,14.913617,1.234589
2,11.049339,1.228187
3,8.053118,1.210104
4,5.047011,1.203674
5,3.053084,-1.003683
6,2.046147,-1.000971
7,1.702962,3.46111
8,1.354583,1.20451
9,1.02854,-1.004862
10,0.692219,3.486466
11,0.338299,1.211927
12,0.006129,-1.007328
13,-0.33732,3.493711
14,-0.66248,1.221141
15,-1.013234,-1.009764
16,-1.3592,3.498331
17,-1.700828,1.217608
18,-2.025526,-1.006743
19,-2.389643,3.497574
20,-2.70727,1.22629
21,-3.039236,-1.012087
22,-3.389677,3.493386
23,-3.727406,1.231921
24,-4.060688,-1.013342
25,-4.400406,3.500591
26,-4.73747,1.229656
27,-5.048737,-1.012297
28,-5.407322,3.516058
29,-5.739902,1.244921
30,-6.078592,-1.019631
31,-7.072165,-1.023044
32,-8.072028,-1.022979
33,-9.083226,1.253372
34,-10.074728,1.256393
35,-11.068486,1.274482
36,-12.033109,1.27941
37,-13.002365,-1.029904
38,-13.948466,-1.02228
39,-18.88881,-1.009687
40,-24.882159,-0.996372
